epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,123.627,0.88549,1.16202,1.17368,0.68699,0.3766,0.43648,0.34478,0.82813,1.23261,1.13643,5.98848e-05,5.98848e-05,5.98848e-05
40,126.674,0.8871,1.17327,1.17541,0.672,0.39023,0.4392,0.34107,0.83211,1.22001,1.13343,5.89344e-05,5.89344e-05,5.89344e-05
41,129.703,0.89246,1.12246,1.1634,0.63245,0.39565,0.45042,0.35155,0.85099,1.23447,1.14245,5.7984e-05,5.7984e-05,5.7984e-05
42,132.765,0.88569,1.13355,1.17009,0.66612,0.40031,0.45484,0.35793,0.8241,1.21857,1.12777,5.70336e-05,5.70336e-05,5.70336e-05
43,135.809,0.88174,1.1577,1.16715,0.64066,0.42631,0.4555,0.36207,0.81698,1.18617,1.12428,5.60832e-05,5.60832e-05,5.60832e-05
44,138.845,0.85979,1.09933,1.1629,0.68692,0.39487,0.47419,0.3715,0.81763,1.17774,1.13003,5.51328e-05,5.51328e-05,5.51328e-05
45,141.9,0.87146,1.08679,1.16054,0.60034,0.43131,0.47902,0.37665,0.81608,1.1646,1.12465,5.41824e-05,5.41824e-05,5.41824e-05
46,144.946,0.87135,1.1113,1.156,0.66119,0.40131,0.50138,0.39719,0.82657,1.17552,1.1291,5.3232e-05,5.3232e-05,5.3232e-05
47,147.995,0.86721,1.11645,1.1605,0.67247,0.42943,0.48414,0.38188,0.82476,1.16661,1.12752,5.22816e-05,5.22816e-05,5.22816e-05
48,151.033,0.86405,1.05437,1.14923,0.69531,0.42299,0.50305,0.40149,0.82384,1.12698,1.1232,5.13312e-05,5.13312e-05,5.13312e-05
49,154.079,0.86969,1.07021,1.15447,0.68727,0.42206,0.5101,0.41266,0.81172,1.14131,1.11643,5.03808e-05,5.03808e-05,5.03808e-05
50,157.106,0.84718,1.05515,1.15722,0.61515,0.45187,0.51216,0.41556,0.78986,1.11431,1.10472,4.94304e-05,4.94304e-05,4.94304e-05
51,160.134,0.85092,1.07604,1.13987,0.60861,0.4547,0.51778,0.42112,0.81695,1.11458,1.12478,4.848e-05,4.848e-05,4.848e-05
52,163.157,0.82742,1.00599,1.13817,0.6738,0.43116,0.50665,0.4106,0.80695,1.12826,1.11762,4.75296e-05,4.75296e-05,4.75296e-05
53,166.177,0.84861,1.07085,1.1482,0.67386,0.43827,0.49967,0.4051,0.80733,1.1187,1.11831,4.65792e-05,4.65792e-05,4.65792e-05
54,169.205,0.83821,1.06104,1.135,0.62726,0.44651,0.51578,0.42315,0.80035,1.07779,1.11467,4.56288e-05,4.56288e-05,4.56288e-05
55,172.235,0.82199,0.9981,1.12653,0.65122,0.44069,0.50961,0.41282,0.79837,1.09263,1.11269,4.46784e-05,4.46784e-05,4.46784e-05
56,175.269,0.84191,1.02871,1.14603,0.6272,0.46349,0.51659,0.4171,0.80834,1.07943,1.12423,4.3728e-05,4.3728e-05,4.3728e-05
57,178.306,0.82149,1.03494,1.13179,0.71422,0.41228,0.54788,0.44717,0.79449,1.08021,1.10993,4.27776e-05,4.27776e-05,4.27776e-05
58,181.343,0.82276,0.98909,1.12972,0.69239,0.42291,0.53655,0.43916,0.79982,1.06008,1.11731,4.18272e-05,4.18272e-05,4.18272e-05
59,184.362,0.8195,0.97992,1.12755,0.62856,0.47093,0.54711,0.44769,0.80123,1.07229,1.11318,4.08768e-05,4.08768e-05,4.08768e-05
60,187.398,0.82623,0.9921,1.13313,0.66891,0.44439,0.56286,0.45728,0.80807,1.07315,1.11418,3.99264e-05,3.99264e-05,3.99264e-05
61,190.436,0.82479,0.98844,1.13431,0.5377,0.53292,0.54519,0.4414,0.79777,1.06801,1.11015,3.8976e-05,3.8976e-05,3.8976e-05
62,193.47,0.81302,0.97889,1.12147,0.5601,0.50489,0.55355,0.44947,0.79412,1.04473,1.11341,3.80256e-05,3.80256e-05,3.80256e-05
63,196.492,0.82758,0.9846,1.1285,0.53122,0.53425,0.5554,0.45514,0.78583,1.04142,1.10579,3.70752e-05,3.70752e-05,3.70752e-05
64,199.517,0.80178,0.93635,1.11791,0.57563,0.51664,0.54526,0.44351,0.79198,1.05035,1.10187,3.61248e-05,3.61248e-05,3.61248e-05
65,202.545,0.82913,0.9472,1.12634,0.6634,0.45954,0.56339,0.46251,0.79515,1.04373,1.1057,3.51744e-05,3.51744e-05,3.51744e-05
66,205.584,0.8169,0.9844,1.12862,0.55815,0.50823,0.56617,0.45962,0.79198,1.03721,1.11364,3.4224e-05,3.4224e-05,3.4224e-05
67,208.61,0.79668,0.92732,1.10397,0.61865,0.49729,0.55108,0.44222,0.78924,1.04503,1.11422,3.32736e-05,3.32736e-05,3.32736e-05
68,211.648,0.79648,0.93612,1.11131,0.70479,0.44945,0.54306,0.44109,0.79132,1.04155,1.10822,3.23232e-05,3.23232e-05,3.23232e-05
69,214.678,0.80231,0.97688,1.11101,0.71272,0.4603,0.5595,0.45538,0.78573,1.02838,1.10572,3.13728e-05,3.13728e-05,3.13728e-05
70,217.706,0.8039,0.95019,1.12786,0.68038,0.4702,0.56692,0.46308,0.77817,1.01906,1.10104,3.04224e-05,3.04224e-05,3.04224e-05
71,220.745,0.79583,0.94841,1.11597,0.58163,0.50655,0.56859,0.46489,0.77839,1.01616,1.09946,2.9472e-05,2.9472e-05,2.9472e-05
72,223.799,0.81562,0.94946,1.12937,0.72505,0.45918,0.58149,0.47683,0.77573,1.00818,1.09598,2.85216e-05,2.85216e-05,2.85216e-05
73,226.834,0.80013,0.92248,1.11544,0.71792,0.46512,0.57179,0.46599,0.78174,1.01644,1.10024,2.75712e-05,2.75712e-05,2.75712e-05
